 NOMBRE RECETA ; INGREDIENTES ; PROVEEDOR ; CANT ; Unid ; C.U. ; Total x 100 ; C x P ;TIPO INGREDIENTE;TIPO DE RECETA
CONO DALMATA-helado ; Helado de Miel  ; Heca ;6; lt ;4.400;26.400;264;Helados;POSTRES
  CONO DALMATA-magdalena ; Mantequilla ; Cabezas y cia ;0,87; kg ;8.391;7.300;74;Lácteos;POSTRES
  CONO DALMATA-magdalena ; chocolate negro ; Delicias y mas SpA ;2,2; kg ;5.200;11.440;115;Abarrotes;POSTRES
  CONO DALMATA-magdalena ; Azúcar ; Delicias y mas SpA ;0,58; kg ;1.300;754;8;Abarrotes;POSTRES
  CONO DALMATA-magdalena ; huevos ; MIGUEL FARIAS ;58; c/u ;240;13.920;140;Frutas/Verduras;POSTRES
  CONO DALMATA-magdalena ; harina ; Delicias y mas SpA ;0,15; kg ;1.300;195;2;Abarrotes;POSTRES
  CONO DALMATA-magdalena ; Cacao en polvo ; Miguel Farias ;0,29; kg ;6.200;1.798;18;Abarrotes;POSTRES
  CONO DALMATA-magdalena ; Polvo de hornear ; cambiar ;0,03; kg ;4.529;136;2;Abarrotes;POSTRES
  CONO DALMATA-MARQUISE ; Mantequilla ; Cabezas y cia ;0,74; kg ;8.391;6.209;63;Lácteos;POSTRES
  CONO DALMATA-MARQUISE ; chocolate negro ; Delicias y mas SpA ;0,85; kg ;5.200;4.420;45;Abarrotes;POSTRES
  CONO DALMATA-MARQUISE ; azúcar ; Delicias y mas SpA ;0,34; kg ;1.300;442;5;Abarrotes;POSTRES
  CONO DALMATA-MARQUISE ; Huevos ; MIGUEL FARIAS ;6; c/u ;240;1.440;15;Frutas/Verduras;POSTRES
  CONO DALMATA-MARQUISE ; Cacao en polvo ; Miguel Farias ;0,15; kg ;6.200;930;10;Abarrotes;POSTRES
  CONO DALMATA-MARQUISE ; Crema ; Cabezas y cia ;1,5; lt ;3.721;5.582;56;Lácteos;POSTRES
  CONO DALMATA-MARQUISE ; colapez ; Chile Distribución ;25; hojas ;79;1.975;20;Abarrotes;POSTRES
  CONO DALMATA-MARQUISE ; Escencia de almendras ; Gudland ;0,02; unid ;2.227;45;1;Abarrotes;POSTRES
  CONO DALMATA-Palo de Caramelo ; Azúcar Iansa ; Fruton ;1,5; kg ;1.300;1.950;20;Abarrotes;POSTRES
  CONO DALMATA-Palo de Caramelo ; Bolsa prepicada grande ; Abraham Vilches ;0,05; kg ;2.652;133;2;Abarrotes;POSTRES
  CONO DALMATA-Palo de Caramelo ; aceite ; Fruton ;0,03; lt ;3.450;104;2;Abarrotes;POSTRES
  CONO DALMATA-Parfait de nuez ; Huevos ; MIGUEL FARIAS ;10; c/u ;240;2.400;24;Frutas/Verduras;POSTRES
  CONO DALMATA-Parfait de nuez ; azúcar ; Delicias y mas SpA ;0,4; kg ;1.300;520;6;Abarrotes;POSTRES
  CONO DALMATA-Parfait de nuez ; colapez ; Chile Distribución ;15; hojas ;79;1.185;12;Abarrotes;POSTRES
  CONO DALMATA-Parfait de nuez ; Crema ; Cabezas y cia ;1,7; lt ;3.721;6.326;64;Lácteos;POSTRES
  CONO DALMATA-Parfait de nuez ; Azúcar ; Delicias y mas SpA ;0,25; kg ;1.300;325;4;Abarrotes;POSTRES
  CONO DALMATA-Parfait de nuez ; NUEZ PARTIDA ; MIGUEL FARIAS ;0,3; kg ;8.900;2.670;27;Abarrotes;POSTRES
  CONO DALMATA-Parfait de nuez ; Crema ; Cabezas y cia ;0,233; lt ;3.721;865;9;Lácteos;POSTRES
  CONO DALMATA-salsa blanca ; leche ; Cabezas y cia ;0,3; lt ;999;300;3;Lácteos;POSTRES
  CONO DALMATA-salsa blanca ; azúcar ; Delicias y mas SpA ;0,1; kg ;1.300;130;2;Abarrotes;POSTRES
  CONO DALMATA-salsa blanca ; Chocolate blanco ; Delicias y mas SpA ;0,5; kg ;5.200;2.600;26;Abarrotes;POSTRES
  CONO DALMATA-salsa blanca ; crema ; Cabezas y cia ;0,7; lt ;3.721;2.605;27;Lácteos;POSTRES
  CONO DALMATA-salsa negra ; azúcar ; Delicias y mas SpA ;0,2; kg ;1.300;260;3;Abarrotes;POSTRES
  CONO DALMATA-salsa negra ; Cacao en polvo ; Miguel Farias ;0,08; kg ;6.200;496;5;Abarrotes;POSTRES
  CONO DALMATA-salsa negra ; Mantequilla ; Cabezas y cia ;0,08; kg ;8.391;671;7;Lácteos;POSTRES
  CONO DALMATA-salsa negra ; Crema ; Cabezas y cia ;0,7; lt ;3.721;2.605;27;Lácteos;POSTRES
  CONO DALMATA-salsa negra ; chocolate negro ; Delicias y mas SpA ;0,4; kg ;5.200;2.080;21;Abarrotes;POSTRES
  CONO DALMATA-tuil escalera ; Azúcar Iansa ; Fruton ;0,555; kg ;1.300;722;8;Abarrotes;POSTRES
