 LISTA_DE_INGREDIENTES ; TIPO DE INGREDIENTE ; UNID ;P.U.; OBSERVACIONES ; PROVEEDOR 
 Aceite ; Abarrotes ; lt ; 3.450 ; botella 1 LT ; Fruton 
 Aceite de dende ; Abarrotes ; lt ; 11.820 ; bot.200 cc ; Comon 
 aceite de dende ; Abarrotes ;frasco; 3.500 ; 500cc frasco ; juanito perez 
 Aceite de oliva ; Abarrotes ; lt ; 5.782 ; 26900 5 litros ; Arasil 
 Aceite de sésamo ; Abarrotes ; lt ; 18.225 ; bot.200 cc ; Fruton 
 Aceite frito master ; Abarrotes ;lt; 1.385 ; Bidón de 10lt ; cambiar 
 Aceite Tartufo ; Abarrotes ;lt; 29.900 ; 2990 100ml ; Globe Italia 
 aceituna rebanadas ; Abarrotes ;kg; 5.990 ; 1 kilo ; Miguel Farias 
 aceituna verde ; Abarrotes ;kg; 5.490 ;; Delicias y mas SpA 
 aceituna verde sin cuesco ; Abarrotes ;kg; 4.500 ;; Fruton 
 Aceitunas de azapa ; Abarrotes ;kg; 3.690 ;; Fruton 
 aceitunas deshuesadas ; Abarrotes ;kg; 4.500 ;; Fruton 
 Aceitunas moradas ; Abarrotes ;kg; 5.200 ;; Fruton 
 Acelga ; Frutas/Verduras ;pqte; 790 ;; Fruton 
 Achicoria ; Frutas/Verduras ;unid; 795 ;; Agromarket 
 Agua ; Abarrotes ;lt; -   ;; Bodega 
 Agua ardiente ; Tragos ;botella; 1.420 ;; German Garci 
 Agua con gas Cachantún 1,6 lt ; Bebidas ; botella ; 605,00 ;; CCU 
 Agua mineral con gas Benedictino ; Bebidas ;botella; 423 ; botella 2 lt ; Andina 
 Agua mineral con gas-500cc ; Bebidas ;botella; 290 ; botella 500 cc ; CCU 
 Agua mineral sin gas ; Bebidas ;botella; 218 ; botella 2,250 lt ; CCU 
 Agua mineral sin gas Benedictino ; Bebidas ;botella; 423 ; botella 2 lt ; Andina 
 Agua porvenir ; Bebidas ;botella; 440 ; botella 1.5 LT ; CCU 
 Agua sin gas Cachantún 1,6 lt ; Bebidas ; botella ; 605,00 ;; Andina 
 Agua tibia ; Abarrotes ;lt; -   ;; Bodega 
 Agua tónica light ; Bebidas ;botella; 335 ; lata 350  ; CCU 
 Agua tónica ; Bebidas ;botella; 988 ; botella 1.5 LT ; CCU 
 Aji amarillo ; Abarrotes ;kg; 4.900 ; frasco ; Fruton 
 Ají amarillo fresco ; Frutas/Verduras ;kg; 4.900 ;; Fruton 
 Ají cacho de cabra ; Abarrotes ; kg ; 12.900 ;; Fruton 
 Ají cayena ; Abarrotes ; kg ; 3.805 ;; Gudland 
 Ají de color ; Abarrotes ;bolsa; 4.690 ; bolsa de 1 kg ; Fruton 
 Ají Guacatay ; Abarrotes ; kg ; 4.808 ; Bolsa  de 1/2 kg ; Fruton 
 Aji no moto ; Abarrotes ;kg; 1.816 ;; Fruton 
 Ají Panca ; Abarrotes ; kg ; 12.900 ; Bolsa  de 1/2 kg ; Fruton 
 Ají para Tacos ; Abarrotes ;frasco; 1.878 ;; cambiar 
