;  CONO DALMATA-helado ; Helado de Miel  ; Heca ; 6,000 ; lt ; 4.400 ; 26.400 ; 264 
;  CONO DALMATA-magdalena ; Mantequilla ; Cabezas y cia ; 0,870 ; kg ; 8.391 ; 7.300 ; 74 
;  CONO DALMATA-magdalena ; chocolate negro ; Delicias y mas SpA ; 2,200 ; kg ; 5.200 ; 11.440 ; 115 
;  CONO DALMATA-magdalena ; Azúcar ; Delicias y mas SpA ; 0,580 ; kg ; 1.300 ; 754 ; 8 
;  CONO DALMATA-magdalena ; huevos ; MIGUEL FARIAS ; 58,000 ; c/u ; 240 ; 13.920 ; 140 
;  CONO DALMATA-magdalena ; harina ; Delicias y mas SpA ; 0,150 ; kg ; 1.300 ; 195 ; 2 
;  CONO DALMATA-magdalena ; Cacao en polvo ; Miguel Farias ; 0,290 ; kg ; 6.200 ; 1.798 ; 18 
;  CONO DALMATA-magdalena ; Polvo de hornear ; cambiar ; 0,030 ; kg ; 4.529 ; 136 ; 2 
;  CONO DALMATA-MARQUISE ; Mantequilla ; Cabezas y cia ; 0,740 ; kg ; 8.391 ; 6.209 ; 63 
;  CONO DALMATA-MARQUISE ; chocolate negro ; Delicias y mas SpA ; 0,850 ; kg ; 5.200 ; 4.420 ; 45 
;  CONO DALMATA-MARQUISE ; azúcar ; Delicias y mas SpA ; 0,340 ; kg ; 1.300 ; 442 ; 5 
;  CONO DALMATA-MARQUISE ; Huevos ; MIGUEL FARIAS ; 6,000 ; c/u ; 240 ; 1.440 ; 15 
;  CONO DALMATA-MARQUISE ; Cacao en polvo ; Miguel Farias ; 0,150 ; kg ; 6.200 ; 930 ; 10 
;  CONO DALMATA-MARQUISE ; Crema ; Cabezas y cia ; 1,500 ; lt ; 3.721 ; 5.582 ; 56 
;  CONO DALMATA-MARQUISE ; colapez ; Chile Distribución ; 25,000 ; hojas ; 79 ; 1.975 ; 20 
;  CONO DALMATA-MARQUISE ; Escencia de almendras ; Gudland ; 0,020 ; unid ; 2.227 ; 45 ; 1 
;  CONO DALMATA-Palo de Caramelo ; Azúcar Iansa ; Fruton ; 1,500 ; kg ; 1.300 ; 1.950 ; 20 
;  CONO DALMATA-Palo de Caramelo ; Bolsa prepicada grande ; Abraham Vilches ; 0,050 ; kg ; 2.652 ; 133 ; 2 
;  CONO DALMATA-Palo de Caramelo ; aceite ; Fruton ; 0,030 ; lt ; 3.450 ; 104 ; 2 
;  CONO DALMATA-Parfait de nuez ; Huevos ; MIGUEL FARIAS ; 10,000 ; c/u ; 240 ; 2.400 ; 24 
;  CONO DALMATA-Parfait de nuez ; azúcar ; Delicias y mas SpA ; 0,400 ; kg ; 1.300 ; 520 ; 6 
;  CONO DALMATA-Parfait de nuez ; colapez ; Chile Distribución ; 15,000 ; hojas ; 79 ; 1.185 ; 12 
;  CONO DALMATA-Parfait de nuez ; Crema ; Cabezas y cia ; 1,700 ; lt ; 3.721 ; 6.326 ; 64 
;  CONO DALMATA-Parfait de nuez ; Azúcar ; Delicias y mas SpA ; 0,250 ; kg ; 1.300 ; 325 ; 4 
;  CONO DALMATA-Parfait de nuez ; NUEZ PARTIDA ; MIGUEL FARIAS ; 0,300 ; kg ; 8.900 ; 2.670 ; 27 
;  CONO DALMATA-Parfait de nuez ; Crema ; Cabezas y cia ; 0,233 ; lt ; 3.721 ; 865 ; 9 
;  CONO DALMATA-salsa blanca ; leche ; Cabezas y cia ; 0,300 ; lt ; 999 ; 300 ; 3 
;  CONO DALMATA-salsa blanca ; azúcar ; Delicias y mas SpA ; 0,100 ; kg ; 1.300 ; 130 ; 2 
;  CONO DALMATA-salsa blanca ; Chocolate blanco ; Delicias y mas SpA ; 0,500 ; kg ; 5.200 ; 2.600 ; 26 
;  CONO DALMATA-salsa blanca ; crema ; Cabezas y cia ; 0,700 ; lt ; 3.721 ; 2.605 ; 27 
;  CONO DALMATA-salsa negra ; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 
;  CONO DALMATA-salsa negra ; Cacao en polvo ; Miguel Farias ; 0,080 ; kg ; 6.200 ; 496 ; 5 
;  CONO DALMATA-salsa negra ; Mantequilla ; Cabezas y cia ; 0,080 ; kg ; 8.391 ; 671 ; 7 
;  CONO DALMATA-salsa negra ; Crema ; Cabezas y cia ; 0,700 ; lt ; 3.721 ; 2.605 ; 27 
;  CONO DALMATA-salsa negra ; chocolate negro ; Delicias y mas SpA ; 0,400 ; kg ; 5.200 ; 2.080 ; 21 
;  CONO DALMATA-tuil escalera ; Azúcar Iansa ; Fruton ; 0,555 ; kg ; 1.300 ; 722 ; 8 
;  CONO DALMATA-tuil escalera ; harina ; Delicias y mas SpA ; 0,166 ; kg ; 1.300 ; 216 ; 3 
;  CONO DALMATA-tuil escalera ; Jugo de naranja Watts 1,5 lt ; CCU ; 0,090 ; botella ; 2.000 ; 180 ; 2 
;  CONO DALMATA-tuil escalera ; Mantequilla ; Cabezas y cia ; 0,197 ; kg ; 8.391 ; 1.653 ; 17 
;  MINI SANDWICH-Buffalo blue ; lomo liso vacuno ; Delicias y mas SpA ; 2,200 ; kg ; 8.998 ; 19.796 ; 198 
;  MINI SANDWICH-Buffalo blue ; queso roquefort ; Fruton ; 0,500 ; kg ; 29.800 ; 14.900 ; 149 
;  MINI SANDWICH-Buffalo blue ; Mayonesa hellmanns  ; MIGUEL FARIAS ; 0,600 ; kg ; 3.650 ; 2.190 ; 22 
;  MINI SANDWICH-Buffalo blue ; Mostaza Dijon ; Delicias y mas SpA ; 0,600 ; kg ; 6.715 ; 4.029 ; 41 
;  MINI SANDWICH-Buffalo blue ; Queso crema ; Delicias y mas SpA ; 0,500 ; kg ; 6.961 ; 3.481 ; 35 
;  MINI SANDWICH-Buffalo blue ; Berros ; Comercial Johnson ; 0,400 ; kg ; 10.490 ; 4.196 ; 42 
;  MINI SANDWICH-Buffalo blue ; Nuez partida ; MIGUEL FARIAS ; 0,300 ; kg ; 8.900 ; 2.670 ; 27 
;  MINI SANDWICH-Buffalo blue ; azúcar ; Delicias y mas SpA ; 0,200 ; kg ; 1.300 ; 260 ; 3 
;  MINI SANDWICH-Buffalo blue ; ají cacho de cabra ; Fruton ; 0,050 ; kg ; 12.900 ; 645 ; 7 
;  MINI SANDWICH-Buffalo blue ; Aceite de oliva ; Arasil ; 0,500 ; lt ; 5.782 ; 2.891 ; 29 
;  MINI SANDWICH-Buffalo blue ; Pan Ciabatta media ; Deli Meals ; 25,000 ; c/u ; 49 ; 1.219 ; 13 
;  PO-CONO DALMATA-cono blanco con puntitos ; chocolate negro ; Delicias y mas SpA ; 1,000 ; kg ; 5.200 ; 5.200 ; 52 
;  PO-CONO DALMATA-cono blanco con puntitos ; chocolate blanco ; Delicias y mas SpA ; 2,000 ; kg ; 5.200 ; 10.400 ; 104 
 9 ; (espárragos, alcachofas y tomates cherry) ; Espárragos congelados ; Congefruits ; 7,500 ; kg ; 3.700 ; 27.750 ; 278 
 9 ; (espárragos, alcachofas y tomates cherry) ; Mantequilla ; Cabezas y cia ; 0,500 ; kg ; 8.391 ; 4.196 ; 42 
 9 ; (espárragos, alcachofas y tomates cherry) ; Alcachofa fondo ; Miguel Farias ; 6,250 ; kg ; 6.090 ; 38.063 ; 381 
 9 ; (espárragos, alcachofas y tomates cherry) ; Aceite de oliva ; Arasil ; 0,100 ; lt ; 5.782 ; 578 ; 6 
 9 ; (espárragos, alcachofas y tomates cherry) ; Tomillo fresco ; Fruton ; 2,000 ; atado ; 1.390 ; 2.780 ; 28 
